delta,eta,es_baseline,riqueza_final,log_crecimiento_medio,CAGR,varianza_mensual,max_drawdown,peor_mes,percentil5_mensual,VaR_perdida,CVaR_perdida,turnover_total,n_transacciones,turnover_medio_activo,costo_total,costo_medio,peso_max_promedio,peso_max_pico,Neff_promedio,violaciones_delta,min_factor_crecimiento,fraccion_factible,fallos_solver,n_meses,CAGR_diff_vs_baseline,MDD_diff_vs_baseline
0.75,0.3,0,1.0318908663876,0.000654018996730497,0.0078791060283403,3.88307365651533e-07,0,4.67805870552063e-06,1.0152530685259e-05,-1.0152530685259e-05,-6.83440005899705e-06,0.00345241246118043,48,7.19252596079256e-05,3.48775772694787e-06,7.2661619311414e-08,0.315259551047928,0.408641418650133,5.6869283477775,0,1.00000467805871,1,0,48,-0.23244156527155,-0.195858641831792
0.75,0.5,0,1.03183131260936,0.000652816602603786,0.00786456371824396,3.88458364102217e-07,0,2.38882727621181e-06,8.38974019645722e-06,-8.38974019645722e-06,-4.97811338406873e-06,0.00167933278874418,48,3.49860997655037e-05,1.69291212935617e-06,3.52690026949201e-08,0.353588348108358,0.537678763442216,4.67305850302778,0,1.00000238882728,1,0,48,-0.232456107581646,-0.195858641831792
0.75,1,0,1.03181743902626,0.000652536484215363,0.00786117586716983,3.88522555030723e-07,0,6.32532435540512e-07,8.31891113071137e-06,-8.31891113071137e-06,-4.39048570033407e-06,0.00146947295011921,44,3.33970732423829e-05,1.48126136214925e-06,3.08596117114427e-08,0.344965170380401,0.482788184901994,4.367651953848,0,1.00000063253244,1,0,48,-0.23245949543272,-0.195858641831792
0.8,0,1,2.36677822793992,0.017948534017382,0.240336121000775,0.00241142521868437,0.195858829647304,-0.108608926428648,-0.0668869444263183,0.0668869444263182,0.0950418713346121,4.72856417050036,48,0.0985117535520907,0.00676759328205384,0.000140991526709455,0.250024521745398,0.250249999422431,4.21682875728949,0,0.891391073571352,1,0,48,0,0
0.8,0.01,0,2.32585904857965,0.0175851969595261,0.234939972350331,0.00233619001117196,0.195866116546363,-0.10860898412653,-0.0619857030375765,0.0619857030375764,0.0950418506611982,4.135228792255,48,0.0861505998386458,0.00599336850927773,0.000124861843943286,0.250021520667249,0.250249999542061,4.33292998856359,0,0.89139101587347,1,0,48,-0.00539614865044347,7.28689905948876e-06
0.8,0.02,0,2.22168685885719,0.0166305573683164,0.220873624849041,0.00231812397108292,0.197172986889349,-0.10860909423372,-0.0624294297467777,0.0624294297467776,0.0964893188058485,4.24194330067078,48,0.0883738187639746,0.00614546596882659,0.000128030541017221,0.250022078763375,0.250249999430729,4.31352128760769,0,0.89139090576628,1,0,48,-0.0194624961517333,0.0013141572420452
0.8,0.03,0,2.18220365503616,0.0162569836910261,0.215412839034674,0.00225899618912629,0.194684563668779,-0.106368207466399,-0.0611992141961182,0.0611992141961181,0.0947103845785865,3.94349424026024,48,0.0821561300054217,0.00562350071417356,0.000117156264878616,0.250020522434598,0.250249998673836,4.36426257882577,0,0.893631792533601,1,0,48,-0.0249232819661005,-0.00117426597852421
0.8,0.04,0,2.06706666631197,0.0151277194347993,0.199053665050425,0.00223195971594782,0.195575584747726,-0.106368195838036,-0.0604780910452421,0.0604780910452419,0.0959533733950443,4.08019275510106,48,0.0850040157312721,0.00555257247363779,0.000115678593200787,0.24941964167093,0.250249991726499,4.40215739838332,0,0.893631804161964,1,0,48,-0.04128245595035,-0.000283244899577095
0.8,0.05,0,2.09433328131774,0.0154007345815906,0.202988424773503,0.00221180255281671,0.199806689633898,-0.108802910282046,-0.0614136377040318,0.0614136377040316,0.0985309707346844,4.08326303097126,48,0.0850679798119012,0.00586481001117335,0.000122183541899445,0.249592946053253,0.250249998745599,4.57364343377921,0,0.891197089717954,1,0,48,-0.0373476962272716,0.00394785998659475
0.8,0.1,0,1.69410333183135,0.0109823665226942,0.140866884320347,0.00158010092714138,0.174450986136903,-0.103629459363396,-0.0646557093650151,0.064655709365015,0.0938103122541183,4.22768158112239,48,0.0880766996067165,0.00531152319297042,0.000110656733186884,0.24859903221834,0.250077297656377,5.82657342073766,0,0.896370540636604,1,0,48,-0.0994692366804275,-0.0214078435104001
0.8,0.15,0,1.57017824205975,0.00939977381021961,0.119404990573391,0.00128678997390423,0.140183720284741,-0.0962156813231819,-0.0620815696439307,0.0620815696439307,0.0829278820325481,3.61235567988458,48,0.0752574099975954,0.00436548406254842,9.09475846364254e-05,0.245374785275686,0.294329927903469,6.85887546921903,0,0.903784318676818,1,0,48,-0.120931130427384,-0.0556751093625626
0.8,0.3,0,1.03189187684967,0.000654039397417765,0.0078793527654879,3.88344437043388e-07,0,4.84180899484876e-06,8.88871652284795e-06,-8.88871652284796e-06,-6.32900910146894e-06,0.00374295991511275,48,7.7978331564849e-05,3.77759055561287e-06,7.86998032419349e-08,0.327672461334762,0.413937209057818,5.49741152953849,0,1.00000484180899,1,0,48,-0.232456768235287,-0.195858829647304
0.8,0.5,0,1.03183144858652,0.000652819348069371,0.00786459692293406,3.88427810256939e-07,0,2.04710463913571e-06,8.48362142173986e-06,-8.48362142173986e-06,-5.0102120148221e-06,0.00122103156880089,48,2.54381576833518e-05,1.23273978270934e-06,2.56820788064447e-08,0.359029541135942,0.505154138600213,4.59629822700991,0,1.00000204710464,1,0,48,-0.232471524077841,-0.195858829647304
0.8,1,0,1.031815473001,0.000652496788338017,0.00786069577208059,3.88486762087069e-07,0,3.14043161697697e-07,8.36640648236298e-06,-8.36640648236298e-06,-4.20103508969039e-06,0.00128051109349142,47,2.72448831669768e-05,1.2918833128097e-06,2.69142356835353e-08,0.331240834791084,0.50402444709187,4.59869634451471,0,1.00000031404316,1,0,48,-0.232475425228694,-0.195858829647304
0.9,0,1,2.36663672282496,0.0179472883952425,0.240317581257743,0.00241131035786455,0.195858668039167,-0.108608923545413,-0.0668798006331092,0.0668798006331092,0.095041774909379,4.70405748369663,48,0.0980011975770131,0.00673096275161672,0.000140228390658682,0.250024430970116,0.250249999583593,4.2270635936445,1,0.891391076454587,1,0,48,0,0
0.9,0.01,0,2.330695995534,0.0176284777812941,0.235581529540693,0.00233597472045869,0.195866301256252,-0.108609027704993,-0.0619798048050426,0.0619798048050425,0.0950419486630267,4.13020041727341,48,0.0860458420265293,0.00599123160118528,0.000124817325024693,0.250021497550569,0.250249999960552,4.34212965988736,1,0.891390972295007,1,0,48,-0.00473605171704983,7.63321708530107e-06
